,PFemale,file,height,width
101,0.8472158,174. 286133_kjiz9wiq_0.jpg,266,246
102,0.016139667,175. gettyimages-476224040_0.jpg,131,111
103,0.35325807,175. gettyimages-476224040_1.jpg,132,112
104,0.10535364,175. gettyimages-476224040_2.jpg,120,112
105,0.38910475,176. cropped-2dangottliebnewwebheader1200x400_0.jpg,142,123
106,0.7207377,176. cropped-2dangottliebnewwebheader1200x400_1.jpg,169,149
107,0.93364716,178. capella-addiction_0.jpg,116,96
108,0.24398217,178. capella-addiction_1.jpg,123,85
109,0.24302971,182. maxresdefault_0.jpg,303,283
110,0.99736387,185. counselor-saufman_0.jpg,187,168
111,0.6825221,186. audrey_headshot_320x400_0.jpg,303,271
112,0.9230197,187. 315323-1241484-2_320x400_0.jpg,265,246
113,0.6020862,191. con1_0.jpg,138,122
114,0.9070656,193. cropped-playtherapycod05ar05ap01zl-madison5a-1_0.jpg,169,149
115,0.1515817,197. 117569-366827-3_320x400_0.jpg,235,215
116,0.9983059,2. gettyimages-668440484_0.jpg,109,103
117,0.003149916,20. istock_000012143104xsmall_0.jpg,120,112
118,0.52111286,200. pinker1_0.jpg,123,103
119,0.19401705,200. pinker1_1.jpg,170,150
120,7.1950367e-06,200. pinker1_2.jpg,116,96
121,0.49181062,200. pinker1_3.jpg,142,122
122,0.99842966,205. counselor-jkosty_0.jpg,187,168
123,0.16477439,207. 1200x630bb_0.jpg,132,112
124,0.9994518,21. 79166534_0.jpg,138,122
125,0.830325,212. 204614-309540-2_320x400_0.jpg,266,246
126,0.3727479,217. hqdefault_0.jpg,131,112
127,0.9989111,220. 162392-457252-2_320x400_0.jpg,348,320
128,6.139442e-05,225. 301882-931068-2_320x400_0.jpg,266,246
129,0.9977986,226. 320735-1314730-2_320x400_0.jpg,234,215
130,0.8381549,228. 272983-541630-2_320x400_0.jpg,235,214
131,0.65255016,229. 142121-256798-3_320x400_0.jpg,187,168
132,0.0021067113,23. counselor%20image%201_0_0.jpg,156,150
133,3.635146e-05,230. 186711-306632-2_320x400_0.jpg,209,189
134,0.1940247,232. 108128-786199-2_320x400_0.jpg,170,149
135,0.99744284,233. 247331-413703-3_320x400_0.jpg,235,215
136,0.9390501,234. 303928-1297330-2_320x400_0.jpg,209,189
137,0.6349893,235. 226120-1152221-3_320x400_0.jpg,235,215
138,0.90827006,236. 82450-521923-2_320x400_0.jpg,266,246
139,0.8637842,237. maxresdefault_0.jpg,347,328
140,0.25890136,238. 265842-494864-2_320x400_0.jpg,235,215
141,0.9977697,239. 56571-250913-3_320x400_0.jpg,235,215
142,0.97131604,240. 341147-977046-2_320x400_0.jpg,209,189
143,0.99814814,241. 282077-610098-2_320x400_0.jpg,235,215
144,0.99870414,242. 389811-1227976-3_320x400_0.jpg,266,245
145,0.98619306,243. 161477-1313311-2_320x400_0.jpg,187,168
146,0.9997997,245. 326593-863772-1_320x400_0.jpg,209,189
147,0.6875266,246. 268445-1054222-2_320x400_0.jpg,187,168
148,0.9375332,247. 346398-993610-3_320x400_0.jpg,234,215
149,0.0008453218,248. 319897-1283215-2_320x400_0.jpg,266,246
150,0.63456774,249. 269892-658471-2_320x400_0.jpg,266,246
151,0.9991514,250. 269710-569731-2_320x400_0.jpg,187,168
152,0.9983926,251. 347581-1002382-3_320x400_0.jpg,187,168
153,0.9975791,252. 355226-1054268-2_320x400_0.jpg,187,168
154,0.005666276,253. 371262-1137464-1_320x400_0.jpg,235,214
155,0.99945915,254. 287854-630235-2_320x400_0.jpg,187,168
156,0.9953459,255. 80175-502894-3_320x400_0.jpg,209,189
157,0.009737428,256. 231418-370369-3_320x400_0.jpg,209,189
158,0.06837453,257. 358063-1187864-2_320x400_0.jpg,124,122
159,1.4461619e-05,258. 213968-1140457-2_320x400_0.jpg,235,214
160,2.0696136e-06,259. 353723-1072340-3_320x400_0.jpg,209,189
161,0.0013836076,26. marriage-family-counselor-interview_0.jpg,142,122
162,0.3116088,260. 263375-481281-3_320x400_0.jpg,235,215
163,0.9967114,261. 359277-1216308-1_320x400_0.jpg,209,189
164,0.76494825,262. 309587-774857-2_320x400_0.jpg,235,214
165,0.9881278,263. 335210-971192-2_320x400_0.jpg,303,283
166,0.9984356,264. 71920-1147608-1_320x400_0.jpg,266,245
167,0.9988766,265. 107778-1028924-3_320x400_0.jpg,234,215
168,0.99222744,266. 278371-567487-2_320x400_0.jpg,187,168
169,0.44057226,267. 45887-115346-2_320x400_0.jpg,166,150
170,0.75774443,267. 45887-115346-2_320x400_1.jpg,155,134
171,0.029979091,268. 119664-1049308-3_320x400_0.jpg,235,215
172,0.84847724,269. 268654-524535-2_320x400_0.jpg,235,215
173,0.337156,27. 11-questions-you-need-to-ask-your-guidance-counselor-right-now1200x800_0.jpg,209,189
174,0.53235805,27. 11-questions-you-need-to-ask-your-guidance-counselor-right-now1200x800_1.jpg,209,189
175,0.21702456,27. 11-questions-you-need-to-ask-your-guidance-counselor-right-now1200x800_2.jpg,123,103
176,0.07854508,270. 231647-551519-2_320x400_0.jpg,348,320
177,0.998909,271. 369208-1130664-2_320x400_0.jpg,209,189
178,0.9753373,272. 331729-897892-2_320x400_0.jpg,266,245
179,0.99789345,273. 253023-559853-2_320x400_0.jpg,303,246
180,0.9710534,274. 296998-686374-3_320x400_0.jpg,303,246
181,0.99690074,275. 211771-319442-2_320x400_0.jpg,187,168
182,0.9979181,276. 356027-1061378-2_320x400_0.jpg,266,245
183,0.91459954,277. 375638-1326676-2_320x400_0.jpg,170,149
184,0.9375564,278. 168929-1283275-2_320x400_0.jpg,266,246
185,0.9241306,279. 244525-1277863-3_320x400_0.jpg,266,246
186,0.40009016,28. 1522376_0.jpg,209,189
187,0.77736664,280. 280323-579478-2_320x400_0.jpg,303,283
188,0.00015405568,281. 209350-313233-2_320x400_0.jpg,235,215
189,0.6222059,282. 184600-1148214-2_320x400_0.jpg,142,123
190,0.09258022,283. 48494-118276-1_320x400_0.jpg,169,149
191,0.0002901405,284. 328107-943892-3_320x400_0.jpg,209,189
192,0.83680594,285. 276511-1314484-2_320x400_0.jpg,132,112
193,0.00015643564,286. 127665-433361-2_320x400_0.jpg,303,281
194,0.99981815,287. 334744-917008-2_320x400_0.jpg,235,215
195,0.9121631,288. 135571-1101676-2_320x400_0.jpg,234,215
196,0.9723469,289. 83835-1276665-2_320x400_0.jpg,209,189
197,0.88208663,29. h5fhnmgpbgp0bxxa2cxn_0.jpg,85,112
198,0.9549233,290. 170214-957364-2_320x400_0.jpg,235,215
199,0.88550866,291. 304707-1054862-2_320x400_0.jpg,303,282
200,0.005468373,292. 296241-674224-2_320x400_0.jpg,209,189
201,0.9084201,293. 118364-268628-2_320x400_0.jpg,266,246
202,0.60990465,294. 296718-674812-3_320x400_0.jpg,303,283
203,0.14556271,295. 305041-731634-2_320x400_0.jpg,209,189
